OrtsID;Ortsname;GebietsID
14999;"San Ramon";"16"
15000;"Puerto Viejo de Limon";"16"
15001;"Quepos";"16"
16359;"Aguas Zarcas";"16"
16435;"Alajuela";"16"
16436;"Dominical";"16"
16437;"Guapiles";"16"
16438;"Limon";"16"
16439;"San Antonio de Belen";"16"
16769;"Santa Cruz";"16"
16992;"Orosi Tal";"16"
17568;"Punta Carillo";"16"
18100;"La Fortuna";"16"
18977;"La Palma de la Fortuna";"16"
18978;"Playa Estero Negro";"16"
20147;"Moin";"16"
20148;"Belen";"16"
20333;"Ciudad Cariari";"16"
21573;"Barra Colorado";"16"
22319;"Drake Bay";"16"
22380;"El Roble";"16"
22516;"Flamingo";"16"
22678;"Golfo Dulce";"16"
22754;"Guana";"16"
22815;"Potrero";"16"
23014;"Montezuma";"16"
23015;"Nicoya";"16"
23032;"La Garita";"16"
23033;"Escazu";"16"
23073;"Puerto Jimenez";"16"
23074;"Bahia Ballena";"16"
23528;"San Juan";"16"
23978;"Liberia";"16"
24426;"Playa Manta";"16"
24435;"Playa Pajaros";"16"
24436;"Carara";"16"
24437;"Giada";"16"
24438;"Osa";"16"
24439;"Playa Ostional";"16"
25371;"Brasilto";"16"
26106;"Playa Pan de Azurca";"16"
26824;"La Gamba";"16"
27357;"Playa Cocles";"16"
27413;"Carate";"16"
27414;"Golfito";"16"
27417;"Orosi";"16"
27418;"Cano Negro";"16"
27419;"Boca Tapada";"16"
27420;"Puerto Viejo de Sarapiqu";"16"
27421;"Guacimo";"16"
27422;"Manzanillo";"16"
27423;"Arenal-See";"16"
27426;"Miramar";"16"
27427;"Nosara";"16"
27428;"Uvita";"16"
27429;"Playa Coyote";"16"
27430;"Playa Potrero";"16"
27431;"Bahia Salinas";"16"
27432;"Malpais";"16"
27549;"Santa Barbara";"16"
27550;"La Paz";"16"
27606;"Cocos Island";"16"
27699;"Playa Samara";"16"
28700;"Playa Guiones";"16"
32482;"Playa Esterillos";"16"
32805;"Aserrí";"16"
32806;"Marbella";"16"
32807;"Panama Beach";"16"
32808;"Parrita";"16"
32809;"Coco";"16"
32810;"Santa Elena";"16"
32811;"Santo Domingo";"16"
34678;"Rio Claro";"16"
35053;"Punta Islita";"16"
36719;"San Joaquin de Flores";"16"
36723;"Bajos del Toro";"16"
36724;"Varra Blanca";"16"
36730;"Penas Blanca";"16"
36734;"Savegre";"16"
36735;"Santa Teresa";"16"
36736;"Palo Seco";"16"
36932;"Cartago";"16"
37004;"Heredia";"16"
37005;"Tilarán";"16"
37319;"Pacuare Naturreservat";"16"
64;"Cabarete";"18"
70;"Playa Dorada";"18"
71;"Playa Grande";"18"
72;"Puerto Plata";"18"
74;"Río San Juan";"18"
78;"Sosua";"18"
1003;"Bahia de Maimon";"18"
1004;"Cayo Guillermo";"18"
1089;"Luperon";"18"
2109;"Bahia Principe";"18"
5683;"Maimon";"18"
7360;"San Jose de las Matas";"18"
8299;"Jarabacoa";"18"
9710;"Costa Dorada";"18"
9999;"Playa Cofresi";"18"
11141;"Coson Bay";"18"
14323;"Nordküste";"18"
73;"Punta Cana";"19"
1216;"La Romana";"19"
4632;"Uvero Alto";"19"
6273;"Cortecito";"19"
8398;"Higuey";"19"
9735;"Playa Bavaro";"19"
21388;"Alto-Macao";"19"
24521;"Cabeza de Toro";"19"
28917;"Playa Arena Gorda";"19"
32256;"Cap Cana";"19"
61;"Santa Cruz de Barahona";"20"
62;"Bayahibe";"20"
63;"Boca Chica";"20"
66;"Juan Dolio";"20"
76;"San Pedro de Macrois";"20"
77;"Santo Domingo";"20"
1090;"Guayacanes";"20"
4353;"Playa Santana";"20"
14324;"Südküste";"20"
16601;"Ens.La Espirilla";"20"
89;"Bagnol";"21"
90;"Bussy-Saint-Georges";"21"
1361;"Forges-les-Eaux";"21"
1362;"Pompadour";"21"
1367;"Vittel";"21"
2447;"Saint Aubin";"21"
2799;"Lyon";"21"
2801;"Straßburg";"21"
2972;"Saint Didier";"21"
3211;"Cahors";"21"
3925;"Avignon";"21"
4930;"Semur-en-Auxois";"21"
4931;"Albé";"21"
5154;"Ammerschwihr";"21"
5156;"Bitche";"21"
5157;"Boofzheim";"21"
5158;"Gimouille";"21"
5159;"La Tour du Meix";"21"
5160;"Sampzon";"21"
5161;"Bois-D'Amont";"21"
5192;"Eguisheim";"21"
5193;"La Brasse";"21"
5194;"Danne et quatre Vents";"21"
5195;"Apt En Provence";"21"
5566;"Belfort";"21"
5568;"Clermont-Ferrand";"21"
5569;"Compiegne";"21"
5570;"Limoges";"21"
5571;"Villefranche-sur-Saone";"21"
5572;"Reims";"21"
5574;"Chanteloup-en-Brie";"21"
5575;"Collégien";"21"
5576;"Maurs La Jolie";"21"
5579;"Périgueux";"21"
5580;"Montlaur";"21"
5581;"Gordes";"21"
5582;"Chilleurs-aux-Bois";"21"
5599;"Moissac-Bellevue";"21"
5609;"Callian";"21"
5624;"Avignon-le-Pontet";"21"
5625;"Saint-Remy-de-Provence";"21"
5636;"Lacoste";"21"
5637;"Lauris";"21"
5638;"Monieux";"21"
5639;"Oppede";"21"
5640;"Rognes";"21"
5641;"Saint Andre de Valborgne";"21"
5644;"Saint Andre de Bueges";"21"
5646;"Vacheres";"21"
5649;"Cavaillon";"21"
5651;"Montelimar";"21"
5652;"Revest Saint Martin";"21"
5653;"Richerenches";"21"
5654;"Saint-Cannat";"21"
5655;"Saint Michel d Euzet";"21"
5657;"Uzes";"21"
5660;"Aigues Vives";"21"
5663;"Cazilhac";"21"
5664;"Eyragues";"21"
5665;"Forcalquier";"21"
5666;"Methamis";"21"
5684;"Saint Andiol";"21"
5685;"Saint Restitut";"21"
5686;"Saint Siffret";"21"
5687;"Saint Gilles-Camargue";"21"
5688;"Caromb";"21"
5689;"Castelnau Valence";"21"
5692;"Montdardier";"21"
5693;"Saint Trinit";"21"
5695;"Saint Maximin";"21"
5696;"Saint Julien de Peyrolas";"21"
5697;"Beaumont du Ventoux";"21"
5699;"Bourg Saint Andeol";"21"
5702;"Mollans sur Ouveze";"21"
5703;"Mons";"21"
5705;"Saint Andre de Roquepertuis";"21"
5706;"Sault";"21"
5707;"Saint Jean  de Sault";"21"
5708;"Vauvert";"21"
5709;"Beaucaire";"21"
5713;"Noves";"21"
5716;"Signes";"21"
5717;"Villevieille";"21"
5718;"Albaron";"21"
5719;"Cardet";"21"
5721;"Merindol";"21"
5722;"Monteux";"21"
